,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
10,Moerdijk 8,Natural Gas,CCGT,CHP,NL,766.0,0.3251629726205997,1997.0,1997.0,2037.0,51.68506,4.58094,,0.0,0.0,0.0,{'49W000000000063W'},"{'ENTSOE': {'49W000000000063W'}, 'GEM': {'L100000400548'}, 'OPSD': {'OEU-151', 'OEU-152'}, 'GEO': {'GEO-44515', 'GEO-44514'}}",NL0 0
11,Swentibold 9,Natural Gas,CCGT,CHP,NL,209.0,,1999.0,1999.0,2039.0,50.9721,5.7911,,0.0,0.0,0.0,{'49W000000000061-'},"{'ENTSOE': {'49W000000000061-'}, 'GEM': {'L100000400568'}, 'OPSD': {'OEU-116'}, 'GEO': {'GEO-44516'}}",NL0 0
12,Ijmuiden Steel Works 10,Natural Gas,CCGT,CHP,NL,144.0,,1997.0,1997.0,2037.0,52.4778,4.6031,,0.0,0.0,0.0,{},"{'GEM': {'L100001000007'}, 'OPSD': {'OEU-109'}, 'GPD': {'WRI1019313'}, 'GEO': {'GEO-44537'}}",NL0 0
13,Amer 4,Hard Coal,Steam Turbine,CHP,NL,601.1028956791896,,1979.0,1979.0,2024.0,51.7078,4.8439,,0.0,0.0,0.0,{'49W000000000070Z'},"{'BEYONDCOAL': {'BEYOND-NL-4'}, 'ENTSOE': {'49W000000000070Z'}, 'GEM': {'G100001021429', 'G100000100156'}, 'GEO': {'GEO-44517'}}",NL0 0
14,Enecogen 11,Natural Gas,CCGT,PP,NL,844.0,0.59,2011.0,2011.0,2051.0,51.957,4.0916,,0.0,0.0,0.0,{'49W000000000058P'},"{'ENTSOE': {'49W000000000058P'}, 'GEM': {'L100000400522'}, 'GEO': {'GEO-44502'}}",NL0 0
15,Centrale Lage Weide 12,Natural Gas,CCGT,CHP,NL,247.0,,1995.0,1995.0,2035.0,52.101944,5.071389,,0.0,0.0,0.0,{'49W000000000047U'},"{'ENTSOE': {'49W000000000047U'}, 'GEM': {'L100000407615'}, 'OPSD': {'OEU-110'}}",NL0 0
16,Bergum 13,Natural Gas,CCGT,PP,NL,144.0,,2019.0,2019.0,2059.0,53.20975,6.02959,,0.0,0.0,0.0,"{'49W0000000001233', '49W000000000135X'}","{'ENTSOE': {'49W0000000001233', '49W000000000135X'}, 'GEM': {'L100000400499'}, 'OPSD': {'OEU-100', 'OEU-99'}}",NL0 0
17,Maasvlakte Ucml 14,Natural Gas,CCGT,CHP,NL,70.0,,2003.0,2003.0,2043.0,51.96,4.0254,,0.0,0.0,0.0,{},"{'GEM': {'L100000400540'}, 'OPSD': {'OEU-161'}, 'GEO': {'GEO-44527'}}",NL0 0
18,Leiden 15,Natural Gas,CCGT,CHP,NL,85.0,,1982.0,2004.0,2044.0,52.1641,4.4941,,0.0,0.0,0.0,{},"{'GEM': {'L100000400536'}, 'OPSD': {'OEU-141'}, 'GEO': {'GEO-45076'}}",NL0 0
19,Pergen 16,Natural Gas,CCGT,CHP,NL,260.0,,2008.0,2008.0,2048.0,51.88191,4.37786,,0.0,0.0,0.0,"{'49W000000000092P', '49W000000000094L'}","{'ENTSOE': {'49W000000000092P', '49W000000000094L'}, 'GEM': {'L100000400552'}}",NL0 0
20,Nam Schoonebeek 17,Natural Gas,CCGT,CHP,NL,128.0,,2010.0,2010.0,2050.0,52.680874,6.894958,,0.0,0.0,0.0,{'49W0000000000504'},"{'ENTSOE': {'49W0000000000504'}, 'GEM': {'L100000400550'}}",NL0 0
21,Maastroom Energie Cv 18,Natural Gas,CCGT,PP,NL,426.0,,2010.0,2010.0,2050.0,51.8901,4.352,,0.0,0.0,0.0,{'49W0000000001225'},"{'ENTSOE': {'49W0000000001225'}, 'GEM': {'L100000400537'}}",NL0 0
